participant_ID,event_day,event_type,event_name,event_time
90,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
90,1,Hack,Forming a new journal,all day
110,1,Hack,Making open science more diverse and inclusive,all day
165,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
165,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
165,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
165,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
165,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
153,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
153,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
153,1,Hack,Syllabus for Research Methods,all day
48,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
48,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
48,1,Hack,Syllabus for Research Methods,all day
48,1,Hack,Making open science more diverse and inclusive,all day
48,1,Hack,Forming a new journal,all day
48,1,Hack,"Resources for changing culture in department, university, society",all day
48,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
35,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
35,1,Hack,Syllabus for Research Methods,all day
28,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
28,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
28,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
28,1,Hack,Making open science more diverse and inclusive,all day
28,1,Hack,"Resources for changing culture in department, university, society",all day
160,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
160,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
160,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
160,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
160,1,Workshop,Using OSF,1:30-3:30p
160,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
160,1,Hack,Syllabus for Research Methods,all day
160,1,Hack,"Resources for changing culture in department, university, society",all day
122,1,Workshop,Using OSF,1:30-3:30p
122,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
122,1,Hack,Syllabus for Research Methods,all day
122,1,Hack,Forming a new journal,all day
122,1,Hack,"Resources for changing culture in department, university, society",all day
152,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
152,1,Workshop,Using OSF,1:30-3:30p
152,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
152,1,Hack,Syllabus for Research Methods,all day
54,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
54,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
54,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
54,1,Hack,Syllabus for Research Methods,all day
54,1,Hack,"Resources for changing culture in department, university, society",all day
54,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
54,1,Flexible,NA,NA
163,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
163,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
163,1,Hack,Syllabus for Research Methods,all day
163,1,Hack,Forming a new journal,all day
163,1,Hack,"Resources for changing culture in department, university, society",all day
43,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
43,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
43,1,Hack,"Resources for changing culture in department, university, society",all day
43,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
116,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
116,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
116,1,Hack,Syllabus for Research Methods,all day
7,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
7,1,Workshop,Using OSF,1:30-3:30p
7,1,Hack,Syllabus for Research Methods,all day
7,1,Hack,Forming a new journal,all day
27,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
27,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
27,1,Hack,Syllabus for Research Methods,all day
27,1,Hack,"Resources for changing culture in department, university, society",all day
34,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
34,1,Hack,Syllabus for Research Methods,all day
34,1,Flexible,NA,NA
26,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
26,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
26,1,Hack,"Resources for changing culture in department, university, society",all day
26,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
60,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
60,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
60,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
60,1,Hack,Syllabus for Research Methods,all day
60,1,Flexible,NA,NA
17,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
17,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
17,1,Flexible,NA,NA
101,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
101,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
101,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
101,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
101,1,Hack,Syllabus for Research Methods,all day
101,1,Hack,"Resources for changing culture in department, university, society",all day
125,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
